Ticker,Sector,Industry,Beta,ATR,Avg Volume,Price
CVLT,Technology,Software - Application,0.61,3.68,1.01M,79.41
CVNA,Consumer Cyclical,Auto & Truck Dealerships,3.67,21.81,3.81M,281.28
CVS,Healthcare,Healthcare Plans,0.50,02.08,8.35M,71.48
CVX,Energy,Oil & Gas Integrated,0.62,3.83,11.74M,201.73
CYTK,Healthcare,Biotechnology,0.51,2.76,1.98M,61.70
D,Utilities,Utilities - Regulated Electric,0.67,1.33,5.94M,59.38
DAL,Industrials,Airlines,1.33,2.88,9.82M,63.44
DAR,Consumer Defensive,Packaged Foods,1.15,1.85,2.58M,55.14
DASH,Consumer Cyclical,Internet Retail,1.91,8.00,4.81M,156.64
DDOG,Technology,Software - Application,1.27,6.61,5.57M,125.08
DE,Industrials,Farm & Heavy Construction Machinery,0.99,16.70,1.55M,559.73
DECK,Consumer Cyclical,Footwear & Accessories,1.19,3.88,2.61M,100.43
DELL,Technology,Computer Hardware,0.92,7.41,7.69M,157.67
DG,Consumer Defensive,Discount Stores,0.31,4.88,3.12M,124.52
DHI,Consumer Cyclical,Residential Construction,1.44,4.55,2.94M,133.12
DHR,Healthcare,Diagnostics & Research,0.96,5.00,3.79M,189.35
DINO,Energy,Oil & Gas Refining & Marketing,0.74,2.44,2.90M,60.22
DIS,Communication Services,Entertainment,1.44,2.28,11.24M,99.51
DKS,Consumer Cyclical,Specialty Retail,1.24,7.14,1.22M,190.01
DLR,Real Estate,REIT - Specialty,1.10,4.23,1.98M,173.30
DLTR,Consumer Defensive,Discount Stores,0.75,4.67,3.04M,105.92
DOCN,Technology,Software - Infrastructure,1.50,5.38,3.09M,82.65
DOV,Industrials,Specialty Industrial Machinery,1.25,5.74,1.25M,209.37
DOX,Technology,Software - Infrastructure,0.48,2.15,1.29M,64.83
DRI,Consumer Cyclical,Restaurants,0.61,6.37,1.48M,203.05
DTE,Utilities,Utilities - Regulated Electric,0.45,2.92,1.50M,141.57
DUK,Utilities,Utilities - Regulated Electric,0.46,2.30,4.28M,126.81
DUOL,Technology,Software - Application,0.88,6.43,2.69M,98.05
DVA,Healthcare,Medical Care Facilities,0.93,4.91,1.06M,149.31
DXCM,Healthcare,Medical Devices,1.53,2.18,4.88M,66.95
EA,Communication Services,Electronic Gaming & Multimedia,0.74,1.34,2.39M,200.51
EAT,Consumer Cyclical,Restaurants,1.35,6.34,1.21M,143.40
EBAY,Consumer Cyclical,Internet Retail,1.35,03.01,5.02M,88.98
ECL,Basic Materials,Specialty Chemicals,01.03,6.67,1.31M,256.48
ED,Utilities,Utilities - Regulated Electric,0.34,2.21,2.10M,109.45
EFX,Industrials,Consulting Services,1.56,7.23,1.68M,178.02
EHC,Healthcare,Medical Care Facilities,0.76,3.29,1.20M,95.86
EIX,Utilities,Utilities - Regulated Electric,0.78,1.82,3.30M,69.75
EL,Consumer Defensive,Household & Personal Products,1.18,4.24,3.91M,85.92
ELF,Consumer Defensive,Household & Personal Products,1.75,4.78,2.10M,72.50
ELS,Real Estate,REIT - Residential,0.75,1.24,1.92M,64.22
ELV,Healthcare,Healthcare Plans,0.50,10.19,1.84M,291.48
EMN,Basic Materials,Specialty Chemicals,1.23,2.87,1.65M,65.33
EMR,Industrials,Specialty Industrial Machinery,1.28,4.57,3.27M,128.15
ENTG,Technology,Semiconductor Equipment & Materials,1.32,6.22,2.89M,114.66
EOG,Energy,Oil & Gas E&P,0.36,3.35,4.98M,138.73
EPAM,Technology,Information Technology Services,1.74,7.34,1.10M,137.43
EQR,Real Estate,REIT - Residential,0.75,1.43,2.53M,57.98
EQT,Energy,Oil & Gas E&P,0.69,1.88,9.85M,64.67
ES,Utilities,Utilities - Regulated Electric,0.77,1.91,2.51M,66.67
ESTC,Technology,Software - Application,0.99,3.24,1.96M,53.31
ETR,Utilities,Utilities - Regulated Electric,0.61,2.25,2.51M,99.90
ETSY,Consumer Cyclical,Internet Retail,1.74,2.56,3.58M,52.84
EVRG,Utilities,Utilities - Regulated Electric,0.61,1.64,2.14M,78.70
EW,Healthcare,Medical Devices,0.94,2.33,4.24M,82.50
EWBC,Financial,Banks - Regional,0.90,3.26,1.04M,103.53
EXE,Energy,Oil & Gas E&P,0.48,3.69,3.62M,107.32
EXPD,Industrials,Integrated Freight & Logistics,01.08,4.24,1.54M,146.35
EXPE,Consumer Cyclical,Travel Services,1.34,12.13,2.58M,235.18
EXR,Real Estate,REIT - Industrial,1.26,3.96,1.31M,130.26
FAF,Financial,Insurance - Specialty,1.31,2.29,1.02M,56.85
FANG,Energy,Oil & Gas E&P,0.54,5.65,2.60M,192.54
FCX,Basic Materials,Copper,1.51,03.04,20.24M,52.09
FDX,Industrials,Integrated Freight & Logistics,1.29,10.69,1.85M,358.85
FERG,Industrials,Industrial Distribution,1.20,07.04,1.31M,217.56
FISV,Technology,Information Technology Services,0.78,2.13,8.38M,57.07
FIVE,Consumer Cyclical,Specialty Retail,01.07,9.63,1.07M,227.42
FLEX,Technology,Electronic Components,1.23,3.17,3.53M,61.64
FLS,Industrials,Specialty Industrial Machinery,1.33,2.95,1.43M,71.40
FLUT,Consumer Cyclical,Gambling,1.15,5.69,3.85M,104.81
FND,Consumer Cyclical,Home Improvement Retail,1.80,03.03,2.45M,50.10
FORM,Technology,Semiconductor Equipment & Materials,01.05,5.74,1.35M,92.22
FOX,Communication Services,Entertainment,0.56,1.50,1.65M,52.18
FOXA,Communication Services,Entertainment,0.52,1.81,3.86M,57.82
FR,Real Estate,REIT - Industrial,1.13,1.44,1.05M,57.00
FRPT,Consumer Defensive,Packaged Foods,1.75,3.75,1.34M,64.54
FSLR,Technology,Solar,1.62,9.32,2.38M,192.82
FTAI,Industrials,Rental & Leasing Services,1.59,15.96,1.80M,230.03
FTI,Energy,Oil & Gas Equipment & Services,0.74,2.26,3.71M,65.26
FTNT,Technology,Software - Infrastructure,1.00,2.86,6.34M,81.40
FTV,Technology,Scientific & Technical Instruments,01.09,1.67,3.87M,55.22
FWONK,Communication Services,Entertainment,0.75,3.16,2.06M,81.42
GD,Industrials,Aerospace & Defense,0.38,8.11,1.32M,345.78
GDDY,Technology,Software - Infrastructure,0.98,4.14,2.03M,84.89
GE,Industrials,Aerospace & Defense,1.43,10.67,5.32M,286.79
GEHC,Healthcare,Medical Devices,1.32,2.32,3.34M,69.65
GEV,Industrials,Specialty Industrial Machinery,1.21,36.89,2.72M,851.07
GH,Healthcare,Diagnostics & Research,1.68,4.75,1.90M,85.18
GILD,Healthcare,Drug Manufacturers - General,0.40,3.73,6.88M,137.21
GLW,Technology,Electronic Components,01.06,8.33,10.03M,124.58
GM,Consumer Cyclical,Auto Manufacturers,1.36,2.26,8.07M,72.81
GMED,Healthcare,Medical Devices,01.09,2.62,1.25M,86.26
GNRC,Industrials,Specialty Industrial Machinery,1.78,9.67,1.12M,199.31
GOOG,Communication Services,Internet Content & Information,1.11,7.38,20.40M,298.79
GOOGL,Communication Services,Internet Content & Information,1.10,7.48,32.23M,301.00
GPC,Consumer Cyclical,Auto Parts,0.79,3.58,1.44M,96.38
GPN,Technology,Software - Infrastructure,0.76,03.06,3.69M,68.50
GS,Financial,Capital Markets,1.34,28.97,2.39M,813.53
GWRE,Technology,Software - Application,01.04,7.38,1.65M,155.61
HALO,Healthcare,Biotechnology,01.04,02.08,1.81M,63.43
HAS,Consumer Cyclical,Leisure,0.55,2.47,1.81M,91.11
HCA,Healthcare,Medical Care Facilities,1.35,14.79,1.07M,493.88
HD,Consumer Cyclical,Home Improvement Retail,01.08,09.09,4.01M,320.75
HIG,Financial,Insurance - Diversified,0.54,2.78,1.52M,132.65
HLT,Consumer Cyclical,Lodging,1.13,8.15,1.90M,292.58
HON,Industrials,Conglomerates,0.92,5.54,4.15M,221.50
HOOD,Financial,Capital Markets,2.45,4.42,27.84M,70.89
HSIC,Healthcare,Medical Distribution,0.89,2.22,1.35M,72.29
HSY,Consumer Defensive,Confectioners,0.16,5.11,1.90M,210.14
HUBS,Technology,Software - Application,1.42,16.87,1.62M,258.81
HUM,Healthcare,Healthcare Plans,0.46,07.03,1.91M,169.90
HWM,Industrials,Aerospace & Defense,1.23,7.96,2.56M,231.21
HXL,Industrials,Aerospace & Defense,01.06,2.87,1.25M,78.81
IBKR,Financial,Capital Markets,1.26,2.73,4.68M,65.47
IBM,Technology,Information Technology Services,0.67,8.34,5.63M,241.77
ICE,Financial,Financial Data & Stock Exchanges,01.05,3.95,3.71M,158.43
IFF,Basic Materials,Specialty Chemicals,01.06,2.53,1.75M,66.62
ILMN,Healthcare,Diagnostics & Research,1.50,4.95,2.00M,124.33
INCY,Healthcare,Biotechnology,0.86,2.82,1.82M,90.78
INSM,Healthcare,Biotechnology,1.18,5.50,2.34M,136.00
INTU,Technology,Software - Application,1.21,21.24,3.74M,455.56
IONS,Healthcare,Biotechnology,0.42,2.42,2.19M,70.99
IQV,Healthcare,Diagnostics & Research,1.41,6.97,1.98M,166.07
IR,Industrials,Specialty Industrial Machinery,1.32,2.87,3.68M,81.39
IRM,Real Estate,REIT - Specialty,1.15,3.26,1.87M,99.61
ISRG,Healthcare,Medical Instruments & Supplies,1.67,13.30,1.85M,477.97
IT,Technology,Information Technology Services,01.05,7.82,1.50M,161.41
ITW,Industrials,Specialty Industrial Machinery,1.15,5.90,1.39M,257.68
JBHT,Industrials,Integrated Freight & Logistics,1.25,7.60,1.02M,199.93
JBL,Technology,Electronic Components,1.17,11.91,1.15M,253.63
JNJ,Healthcare,Drug Manufacturers - General,0.34,4.19,8.46M,235.37
JPM,Financial,Banks - Diversified,01.06,07.05,10.59M,286.56
KBH,Consumer Cyclical,Residential Construction,1.49,1.85,1.10M,51.15
KEYS,Technology,Scientific & Technical Instruments,1.14,12.06,1.36M,277.53
KGS,Energy,Oil & Gas Equipment & Services,0.94,1.93,1.53M,55.90
KKR,Financial,Asset Management,1.96,4.36,7.16M,90.00
KLAC,Technology,Semiconductor Equipment & Materials,1.43,67.56,1.06M,1498.67
KMB,Consumer Defensive,Household & Personal Products,0.28,2.25,5.52M,98.20
KNX,Industrials,Trucking,1.15,2.49,3.14M,53.28
KO,Consumer Defensive,Beverages - Non-Alcoholic,0.36,1.28,17.44M,74.75
KR,Consumer Defensive,Grocery Stores,0.55,1.99,6.66M,73.20
KRMN,Industrials,Aerospace & Defense,1.59,07.05,2.05M,99.38
KTOS,Industrials,Aerospace & Defense,1.10,6.77,4.09M,84.62
LASR,Technology,Semiconductors,2.19,5.65,1.49M,65.76
LDOS,Technology,Information Technology Services,0.63,5.12,1.04M,165.87
LEN,Consumer Cyclical,Residential Construction,1.46,3.63,2.94M,90.55
LEU,Energy,Uranium,1.29,16.90,1.09M,186.76
LHX,Industrials,Aerospace & Defense,0.60,10.28,1.45M,352.85
LITE,Technology,Communication Equipment,1.36,70.07,5.19M,706.35
LLY,Healthcare,Drug Manufacturers - General,0.49,30.22,3.02M,906.70
LMND,Financial,Insurance - Property & Casualty,02.07,4.40,2.62M,64.18
LMT,Industrials,Aerospace & Defense,0.21,17.17,1.75M,627.43
LNG,Energy,Oil & Gas Midstream,0.16,9.84,2.36M,280.89
LNT,Utilities,Utilities - Regulated Electric,0.61,1.36,2.52M,68.71
LOW,Consumer Cyclical,Home Improvement Retail,0.98,6.64,2.71M,224.63
LPX,Industrials,Building Products & Equipment,1.78,3.11,1.07M,69.92
LRCX,Technology,Semiconductor Equipment & Materials,1.76,11.86,11.30M,228.36
LRN,Consumer Defensive,Education & Training Services,0.06,3.11,1.19M,85.06
LSCC,Technology,Semiconductors,1.66,5.13,1.90M,88.62
LVS,Consumer Cyclical,Resorts & Casinos,0.89,1.70,5.34M,52.93
LYV,Communication Services,Entertainment,1.15,5.66,2.82M,148.85
MA,Financial,Credit Services,0.84,11.83,3.71M,496.32
MAR,Consumer Cyclical,Lodging,1.11,9.43,1.57M,319.76
MAS,Industrials,Building Products & Equipment,1.29,02.09,2.49M,58.84
MASI,Healthcare,Medical Devices,1.21,1.86,1.56M,178.24
MC,Financial,Capital Markets,1.90,2.51,1.12M,53.98
MCD,Consumer Cyclical,Restaurants,0.53,5.61,3.15M,308.85
MCHP,Technology,Semiconductors,1.48,2.75,8.84M,62.97
MCO,Financial,Financial Data & Stock Exchanges,1.45,13.92,1.28M,435.12
MDB,Technology,Software - Infrastructure,1.56,18.21,1.87M,261.16
MDLZ,Consumer Defensive,Confectioners,0.40,1.45,10.63M,56.21
MET,Financial,Insurance - Life,0.75,02.05,3.79M,68.56
META,Communication Services,Internet Content & Information,1.29,18.22,14.25M,593.66
MKC,Consumer Defensive,Packaged Foods,0.66,1.91,3.61M,53.23
MKSI,Technology,Scientific & Technical Instruments,1.90,13.38,1.45M,227.13
MMM,Industrials,Conglomerates,01.09,4.35,3.99M,141.20
MNST,Consumer Defensive,Beverages - Non-Alcoholic,0.49,1.87,5.96M,73.69
MO,Consumer Defensive,Tobacco,0.45,1.36,9.63M,64.47
MOD,Consumer Cyclical,Auto Parts,1.72,12.95,1.35M,196.55
MOH,Healthcare,Healthcare Plans,0.52,7.32,1.67M,139.41
MP,Basic Materials,Other Industrial Metals & Mining,1.64,3.74,7.42M,50.60
MPC,Energy,Oil & Gas Refining & Marketing,0.62,7.68,2.45M,232.53
MPLX,Energy,Oil & Gas Midstream,0.53,1.11,1.63M,57.99
MRK,Healthcare,Drug Manufacturers - General,0.30,2.70,11.71M,114.18
MRNA,Healthcare,Biotechnology,1.33,3.49,11.36M,51.38
MRSH,Financial,Insurance Brokers,0.76,4.43,2.80M,176.48
MRVL,Technology,Semiconductors,1.91,4.45,15.86M,87.91
MS,Financial,Capital Markets,1.21,5.54,7.00M,161.47
MSFT,Technology,Software - Infrastructure,01.09,8.73,33.29M,381.87
MSI,Technology,Communication Equipment,0.97,9.65,1.14M,452.35
MSTR,Technology,Software - Application,3.55,09.01,22.05M,135.66
MTB,Financial,Banks - Regional,0.62,5.40,1.20M,198.15
MTDR,Energy,Oil & Gas E&P,0.99,02.02,1.83M,58.50
MTSI,Technology,Semiconductors,1.48,11.96,1.30M,218.96
MU,Technology,Semiconductors,1.49,25.87,35.55M,422.90
NBIX,Healthcare,Drug Manufacturers - Specialty & Generic,0.36,3.40,1.10M,127.68
NDAQ,Financial,Financial Data & Stock Exchanges,01.02,2.34,4.42M,86.34
NEE,Utilities,Utilities - Regulated Electric,0.74,2.24,9.31M,89.50
NEM,Basic Materials,Gold,0.49,5.65,9.79M,95.80
NET,Technology,Software - Infrastructure,1.87,10.62,4.40M,215.42
NFLX,Communication Services,Entertainment,1.71,2.75,47.70M,91.82
NKE,Consumer Cyclical,Footwear & Accessories,1.32,1.68,17.06M,52.37
NKTR,Healthcare,Biotechnology,-0.85,4.50,1.10M,72.22
NOW,Technology,Software - Application,0.98,5.12,17.91M,110.38
NRG,Utilities,Utilities - Independent Power Producers,1.29,7.80,2.42M,145.80
NSC,Industrials,Railroads,1.33,5.84,1.20M,281.09
NTAP,Technology,Software - Infrastructure,1.31,3.28,2.28M,101.11
NTRA,Healthcare,Diagnostics & Research,1.69,8.55,1.16M,195.28
NTRS,Financial,Asset Management,1.26,04.08,1.06M,135.74
NUE,Basic Materials,Steel,1.78,5.27,1.67M,158.58
NVDA,Technology,Semiconductors,2.34,5.77,173.05M,172.70
NXT,Technology,Solar,2.14,6.40,1.91M,114.39
NYT,Communication Services,Publishing,01.08,1.81,2.21M,80.97
O,Real Estate,REIT - Retail,0.78,1.18,6.50M,60.95
OC,Industrials,Building Products & Equipment,1.36,4.62,1.43M,99.96
ODFL,Industrials,Trucking,1.24,7.74,2.20M,183.92
OKE,Energy,Oil & Gas Midstream,0.84,2.40,4.49M,89.21
OKLO,Utilities,Utilities - Independent Power Producers,0.89,4.91,10.36M,53.97
OKTA,Technology,Software - Infrastructure,0.77,3.61,2.96M,78.41
OLLI,Consumer Defensive,Discount Stores,0.54,4.28,1.16M,98.96
OMC,Communication Services,Advertising Agencies,0.74,2.81,4.79M,75.06
OMF,Financial,Credit Services,1.30,2.14,1.54M,51.48
ON,Technology,Semiconductors,1.55,2.50,8.35M,59.26
ORCL,Technology,Software - Infrastructure,1.59,7.74,26.52M,149.68
ORLY,Consumer Cyclical,Auto Parts,0.62,2.23,5.90M,87.30
OTIS,Industrials,Specialty Industrial Machinery,01.03,2.30,3.61M,79.54
OVV,Energy,Oil & Gas E&P,0.64,1.62,4.69M,56.97
OXY,Energy,Oil & Gas E&P,0.30,1.85,14.38M,60.71
PANW,Technology,Software - Infrastructure,0.75,5.74,9.84M,162.95
PARR,Energy,Oil & Gas Refining & Marketing,01.07,2.96,1.25M,61.39
PAYC,Technology,Software - Application,0.79,5.50,1.62M,124.82
PAYX,Technology,Software - Application,0.88,2.81,3.62M,92.55
PB,Financial,Banks - Regional,0.69,1.75,1.19M,64.69
PCAR,Industrials,Farm & Heavy Construction Machinery,01.07,2.95,3.09M,111.26
PCOR,Technology,Software - Application,0.85,2.68,2.39M,58.13
PCVX,Healthcare,Biotechnology,1.42,2.82,1.32M,54.72
PEG,Utilities,Utilities - Regulated Electric,0.59,1.79,2.82M,79.44
PEP,Consumer Defensive,Beverages - Non-Alcoholic,0.41,3.30,7.83M,150.04
PFG,Financial,Asset Management,0.90,2.44,1.57M,85.07
PFGC,Consumer Defensive,Food Distribution,0.95,2.87,2.28M,81.03
PG,Consumer Defensive,Household & Personal Products,0.39,03.05,10.61M,144.28
PGR,Financial,Insurance - Property & Casualty,0.32,4.89,3.34M,206.00
PHM,Consumer Cyclical,Residential Construction,1.34,3.86,1.80M,114.55
PLD,Real Estate,REIT - Industrial,1.42,3.12,3.32M,128.01
PLNT,Consumer Cyclical,Leisure,1.30,3.13,1.88M,74.34
PLTR,Technology,Software - Infrastructure,1.66,6.43,47.65M,150.68
PM,Consumer Defensive,Tobacco,0.45,4.81,5.26M,163.11
PNC,Financial,Banks - Regional,0.98,5.74,2.63M,201.71
PNFP,Financial,Banks - Regional,01.02,3.00,1.73M,83.18
PNW,Utilities,Utilities - Regulated Electric,0.48,2.00,1.28M,97.27
POR,Utilities,Utilities - Regulated Electric,0.65,01.08,1.25M,50.97
PPG,Basic Materials,Specialty Chemicals,1.19,3.54,2.16M,97.22
PRU,Financial,Insurance - Life,0.97,2.56,2.17M,93.03
PSA,Real Estate,REIT - Industrial,01.02,8.31,1.21M,265.78
PSN,Technology,Information Technology Services,0.74,2.37,1.23M,50.04
PSTG,Technology,Computer Hardware,1.30,3.35,3.55M,62.63
PSX,Energy,Oil & Gas Refining & Marketing,0.79,5.12,2.78M,175.47
PTC,Technology,Software - Application,01.04,4.87,1.04M,149.81
PTCT,Healthcare,Biotechnology,0.57,2.92,1.23M,65.30
PWR,Industrials,Engineering & Construction,01.09,20.90,1.04M,555.39
Q,Technology,Semiconductor Equipment & Materials,-,5.87,2.38M,107.59
QCOM,Technology,Semiconductors,1.28,4.10,9.61M,129.90
QRVO,Technology,Semiconductors,1.34,2.12,1.28M,78.16
QSR,Consumer Cyclical,Restaurants,0.53,1.71,3.38M,73.75
RBA,Industrials,Specialty Business Services,0.57,3.13,1.44M,94.98
RBLX,Communication Services,Electronic Gaming & Multimedia,1.67,3.56,11.58M,56.96
RCL,Consumer Cyclical,Travel Services,1.95,14.10,2.39M,263.65
RDDT,Communication Services,Internet Content & Information,2.42,8.40,5.33M,139.85
REG,Real Estate,REIT - Retail,0.92,1.43,1.25M,74.87
RH,Consumer Cyclical,Specialty Retail,2.13,9.57,1.03M,127.65
RJF,Financial,Asset Management,01.02,4.11,1.35M,143.81
RKLB,Industrials,Aerospace & Defense,2.17,5.82,22.39M,67.23
RMBS,Technology,Semiconductors,1.59,5.74,2.29M,91.70
RMD,Healthcare,Medical Instruments & Supplies,0.92,6.22,1.04M,225.99
ROKU,Communication Services,Entertainment,02.01,4.60,3.44M,93.27
ROL,Consumer Cyclical,Personal Services,0.83,1.47,2.90M,53.26
ROP,Technology,Software - Application,0.90,9.58,1.57M,353.68
ROST,Consumer Cyclical,Apparel Retail,0.95,4.67,2.46M,211.19
RPM,Basic Materials,Specialty Chemicals,1.10,2.97,1.03M,93.23
RRX,Industrials,Specialty Industrial Machinery,1.11,10.08,1.04M,175.40
RSG,Industrials,Waste Management,0.53,4.23,1.37M,219.30
RTX,Industrials,Aerospace & Defense,0.41,5.50,5.99M,198.16
RVMD,Healthcare,Biotechnology,01.01,3.74,3.25M,95.78
RVTY,Healthcare,Diagnostics & Research,1.14,3.47,1.31M,85.94
SATS,Communication Services,Telecom Services,01.04,5.88,5.11M,109.84
SBUX,Consumer Cyclical,Restaurants,0.92,2.96,9.06M,92.55
SCCO,Basic Materials,Copper,1.18,10.59,2.08M,152.71
SCHW,Financial,Capital Markets,0.91,2.30,10.27M,94.66
SCI,Consumer Cyclical,Personal Services,01.02,1.99,1.05M,75.43
SEI,Energy,Oil & Gas Equipment & Services,1.00,4.88,2.78M,61.81
SF,Financial,Capital Markets,1.14,2.43,1.45M,70.77
SFM,Consumer Defensive,Grocery Stores,0.63,3.30,2.92M,81.80
SGI,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1.32,03.07,1.81M,71.87
SHAK,Consumer Cyclical,Restaurants,1.77,4.74,1.52M,87.63
SHW,Basic Materials,Specialty Chemicals,1.28,9.26,1.72M,303.53
SJM,Consumer Defensive,Packaged Foods,0.23,03.08,2.01M,99.37
SMTC,Technology,Semiconductors,02.06,5.78,1.55M,73.60
SN,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1.59,5.29,1.63M,98.05
SNDK,Technology,Computer Hardware,4.48,53.26,17.95M,709.71
SNOW,Technology,Software - Application,1.17,8.58,5.72M,168.02
SNPS,Technology,Software - Infrastructure,1.12,15.89,2.09M,420.32
SO,Utilities,Utilities - Regulated Electric,0.41,1.78,5.88M,93.39
SOLS,Basic Materials,Specialty Chemicals,-,04.05,2.74M,67.05
SOLV,Healthcare,Medical Instruments & Supplies,0.70,1.99,1.09M,65.78
SPG,Real Estate,REIT - Retail,1.40,4.21,1.53M,184.52
SPGI,Financial,Financial Data & Stock Exchanges,1.21,12.05,2.48M,424.43
SRE,Utilities,Utilities - Diversified,0.69,2.13,3.76M,91.72
SSNC,Technology,Software - Application,1.17,2.17,2.09M,71.38
STLD,Basic Materials,Steel,1.43,6.66,1.26M,163.95
STT,Financial,Asset Management,1.42,3.84,2.15M,121.97
STX,Technology,Computer Hardware,1.60,26.55,3.94M,411.23
STZ,Consumer Defensive,Beverages - Brewers,0.43,04.08,2.40M,149.62
SUNB,Industrials,Rental & Leasing Services,-,3.23,5.83M,64.09
SWK,Industrials,Tools & Accessories,1.21,2.97,1.82M,67.28
SWKS,Technology,Semiconductors,1.30,02.04,3.60M,54.44
SYF,Financial,Credit Services,1.41,2.23,4.45M,66.19
SYK,Healthcare,Medical Devices,0.91,9.82,1.98M,335.67
SYM,Industrials,Specialty Industrial Machinery,2.14,03.08,1.76M,50.12
SYY,Consumer Defensive,Food Distribution,0.63,1.76,3.63M,81.33
TEAM,Technology,Software - Application,0.96,5.31,5.86M,73.73
TECH,Healthcare,Biotechnology,1.50,2.48,2.32M,51.48
TER,Technology,Semiconductor Equipment & Materials,1.80,17.39,3.27M,290.83
TEX,Industrials,Farm & Heavy Construction Machinery,1.65,2.82,1.90M,57.18
TGT,Consumer Defensive,Discount Stores,01.08,3.35,6.52M,113.26
TJX,Consumer Cyclical,Apparel Retail,0.75,3.16,5.04M,154.98
TMHC,Consumer Cyclical,Residential Construction,1.58,1.82,1.03M,57.30
TMO,Healthcare,Diagnostics & Research,0.99,13.67,2.29M,474.39
TMUS,Communication Services,Telecom Services,0.43,5.57,5.83M,208.47
TOL,Consumer Cyclical,Residential Construction,1.49,4.87,1.20M,132.00
TPR,Consumer Cyclical,Luxury Goods,1.61,5.15,2.28M,140.88
TRGP,Energy,Oil & Gas Midstream,0.84,6.40,1.37M,237.41
TRMB,Technology,Scientific & Technical Instruments,1.54,2.10,1.97M,65.71
TROW,Financial,Asset Management,1.55,2.29,2.07M,86.19
TRU,Financial,Financial Data & Stock Exchanges,1.70,3.23,2.65M,70.55
TRV,Financial,Insurance - Property & Casualty,0.51,06.05,1.55M,296.60
TSLA,Consumer Cyclical,Auto Manufacturers,1.92,13.43,60.86M,367.96
TSN,Consumer Defensive,Farm Products,0.47,1.45,2.93M,58.18
TTAN,Technology,Software - Application,-0.47,4.46,1.42M,67.74
TTMI,Technology,Electronic Components,1.77,7.14,2.43M,91.54
TTWO,Communication Services,Electronic Gaming & Multimedia,0.96,6.58,2.13M,200.63
TW,Financial,Capital Markets,0.75,3.14,1.47M,125.15
TWLO,Technology,Software - Infrastructure,1.30,5.20,2.36M,124.11
TXN,Technology,Semiconductors,01.01,5.81,7.37M,187.19
TXT,Industrials,Aerospace & Defense,0.96,2.54,1.75M,88.77
UAL,Industrials,Airlines,1.28,5.47,6.21M,89.95
UBER,Technology,Software - Application,1.19,2.61,20.02M,73.89
UCTT,Technology,Semiconductor Equipment & Materials,1.83,4.74,1.34M,57.67
UNH,Healthcare,Healthcare Plans,0.39,7.94,8.90M,275.59
UNM,Financial,Insurance - Life,0.18,2.10,1.47M,72.52
UNP,Industrials,Railroads,0.98,5.35,3.27M,234.92
UPS,Industrials,Integrated Freight & Logistics,1.10,2.79,6.00M,95.86
URBN,Consumer Cyclical,Apparel Retail,1.20,2.80,1.69M,63.39
USB,Financial,Banks - Regional,01.05,1.43,10.55M,51.25
USFD,Consumer Defensive,Food Distribution,1.00,2.57,2.78M,89.40
V,Financial,Credit Services,0.80,6.52,7.52M,301.62
VEEV,Healthcare,Health Information Services,01.09,7.33,2.04M,184.07
VLO,Energy,Oil & Gas Refining & Marketing,0.65,7.71,3.47M,239.86
VLTO,Industrials,Pollution & Treatment Controls,1.15,02.03,1.80M,88.63
VMC,Basic Materials,Building Materials,1.12,08.05,1.14M,258.40
VRSK,Industrials,Consulting Services,0.79,07.07,1.92M,201.75
VRT,Industrials,Electrical Equipment & Parts,02.03,13.93,6.14M,255.88
VRTX,Healthcare,Biotechnology,0.35,14.08,1.41M,454.00
VST,Utilities,Utilities - Independent Power Producers,1.45,8.43,5.28M,146.02
VTR,Real Estate,REIT - Healthcare Facilities,0.75,1.76,2.83M,82.50
W,Consumer Cyclical,Internet Retail,3.34,05.06,3.42M,72.35
WAL,Financial,Banks - Regional,1.39,03.08,1.30M,67.04
WAT,Healthcare,Diagnostics & Research,1.21,10.39,1.01M,298.99
WBS,Financial,Banks - Regional,01.04,1.27,4.12M,67.80
WDAY,Technology,Software - Application,1.14,7.10,4.77M,135.96
WDC,Technology,Computer Hardware,1.72,20.84,9.49M,293.10
WEC,Utilities,Utilities - Regulated Electric,0.53,2.15,2.18M,112.18
WELL,Real Estate,REIT - Healthcare Facilities,0.81,4.97,3.03M,195.94
WFC,Financial,Banks - Diversified,01.08,2.49,16.20M,77.60
WFRD,Energy,Oil & Gas Equipment & Services,0.82,4.11,1.27M,86.14
WH,Consumer Cyclical,Lodging,0.72,2.71,1.36M,76.19
WHR,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1.26,2.85,2.40M,52.26
WLK,Basic Materials,Specialty Chemicals,0.79,5.27,1.36M,106.12
WM,Industrials,Waste Management,0.54,4.79,2.18M,231.24
WMB,Energy,Oil & Gas Midstream,0.65,1.65,7.07M,72.41
WMT,Consumer Defensive,Discount Stores,0.67,03.01,30.28M,119.02
WPC,Real Estate,REIT - Diversified,0.80,1.44,1.29M,67.55
WRB,Financial,Insurance - Property & Casualty,0.37,1.54,2.30M,65.74
WSM,Consumer Cyclical,Specialty Retail,1.58,8.55,1.09M,178.42
WYNN,Consumer Cyclical,Resorts & Casinos,01.03,4.10,1.64M,99.98
XEL,Utilities,Utilities - Regulated Electric,0.44,1.64,4.98M,76.77
